user_id,handle,creation_date,followers,following,posts_total,has_photo,bio_len,utc_offset
u0040,nina.76,2020-06-07,2031,880,2889,1,81,0
u0041,alex_42,2021-11-16,1757,393,8515,1,97,1
u0042,ines_3,2020-04-22,1835,444,8022,1,88,-5
u0043,priya.,2023-01-23,4409,810,6116,1,59,1
u0044,mariaaisha,2022-07-28,1054,683,16135,1,36,5
u0045,aisha_62,2019-03-18,1530,82,8323,1,132,1
u0046,ines,2021-02-25,1242,860,18493,1,87,1
u0047,arjun_aisha,2019-10-15,3532,342,18682,1,25,2
u0048,noah_,2023-04-26,1984,207,18137,1,29,1
u0049,paul.77,2021-01-24,287,267,9490,1,82,-5
u0050,aisha.96,2023-10-15,3617,157,15408,1,87,-5
u0051,leon.6,2018-02-09,4271,697,14540,1,81,1
u0052,arjun.,2022-06-01,2596,288,10643,1,39,5
u0053,lucas_,2019-06-28,256,675,7891,1,50,1
u0054,nina29,2019-06-15,982,693,5095,1,137,-5
u0055,noah.,2021-05-06,2283,821,13646,1,97,5
u0056,julia.49,2021-12-02,1565,744,7875,1,156,0
u0057,arjun.84,2021-05-16,323,159,16509,1,94,5
u0058,priya.alex,2020-09-16,1200,449,5108,1,29,0
u0059,ines.,2022-02-04,1943,676,9466,1,68,-5
u0060,priya.91,2020-10-12,1382,740,9862,1,17,1
u0061,emmaarjun,2023-09-28,1992,539,19158,1,46,1
u0062,nina.33,2018-06-25,1651,423,15883,1,37,1
u0063,ines_30,2018-11-06,1814,681,6280,1,74,-5
u0064,paullena,2022-03-08,1096,122,9720,1,93,-5
u0065,priya_,2021-11-06,3275,896,18312,1,103,1
u0066,alex.tom,2020-05-11,1833,693,2121,1,128,-5
u0067,lucas_lena,2019-08-15,4445,459,19295,1,49,0
u0068,sara_maria,2020-02-28,3055,252,14578,1,123,1
u0069,noah.,2024-08-14,434,835,10978,1,72,1
u0070,tom77,2023-01-13,1205,163,17751,1,74,5
u0071,sofia.,2021-08-18,2193,83,4203,1,117,2
u0072,ines_omar,2024-12-07,913,492,16559,1,66,2
u0073,omar_,2018-04-05,3943,897,13210,1,119,-5
u0074,paultom,2020-02-24,1235,97,4185,1,80,2
u0075,julia.28,2018-04-22,1891,453,11156,1,126,0
u0076,lucas.max,2021-06-20,4621,367,4055,1,115,1
u0077,lenaleon,2019-05-30,1872,856,14111,1,153,5
u0078,leonleon,2018-10-26,2551,377,11552,1,11,1
u0079,omar49,2024-08-14,2812,191,12175,1,89,-5
u0080,paul.ines,2022-08-06,3641,454,9001,1,65,5
u0081,nina37,2021-10-11,4336,713,10156,1,21,1
u0082,lucas_sofia,2023-09-05,4597,883,11655,1,28,0
u0083,alex_tom,2020-10-03,3536,617,13302,1,116,1
u0084,alex_22,2021-02-07,2984,120,14360,1,37,1
u0085,lena.,2021-09-23,862,179,8437,1,60,1
u0086,max.max,2020-06-11,2667,672,10409,1,48,0
u0087,paul.leon,2020-05-22,480,390,16674,1,28,1
u0088,max.tom,2020-08-08,3916,543,4993,1,25,0
u0089,jan.,2021-10-18,2049,754,14394,1,122,2
u0090,sara,2021-11-08,2720,126,18333,1,108,1
u0091,arjun77,2022-03-03,4598,415,10813,1,42,-5
u0092,nina.47,2018-05-27,2550,214,7068,1,97,5
u0093,arjunemma,2018-12-13,1376,768,14391,1,21,0
u0094,ines48,2022-03-06,3802,817,9283,1,107,2
u0095,janpaul,2022-06-14,1227,880,14385,1,33,1
u0096,lucasines,2024-01-04,1156,807,15421,1,124,2
u0097,alex_lucas,2024-10-04,4343,463,3693,1,83,1
u0098,omar.31,2018-07-24,3536,31,11611,1,71,2
u0099,leon.,2021-06-17,2844,276,3446,1,158,-5
u0100,emma,2018-07-25,2423,236,1485,1,61,1
u0101,maria.,2021-08-23,3034,477,13157,1,122,0
u0102,jan_emma,2020-11-20,2426,358,3411,1,30,1
u0103,nina_,2018-10-02,3347,402,16862,1,50,1
u0104,jan83,2024-03-25,3156,610,1111,1,49,-5
u0105,ines.,2023-07-24,2164,823,8579,1,124,1
u0106,tom.jan,2024-08-30,4461,327,9878,1,50,-5
u0107,sofia_lena,2024-02-03,4708,407,15365,1,151,1
u0108,aisha_ines,2024-11-28,3385,817,13466,1,157,1
u0109,omar_julia,2018-01-08,4835,216,4278,1,120,2
u0110,omar,2024-04-03,2663,756,7438,1,98,2
u0111,emma.,2020-01-05,4977,375,18518,1,20,5
u0112,maria.99,2024-09-26,1746,815,18797,1,116,2
u0113,julia_83,2020-01-24,2026,854,13356,1,86,0
u0114,emma_54,2024-12-22,1691,378,19929,1,46,1
u0115,paul,2022-12-08,1174,129,1708,1,84,0
u0116,alex51,2020-01-26,1992,250,19165,1,100,1
u0117,ines.84,2022-06-29,4416,38,3572,1,120,1
u0118,aisha50,2019-06-11,4524,316,3943,1,42,1
u0119,omar_sara,2020-05-02,1165,365,10487,1,51,0
u0120,tom.nina,2021-07-08,2540,845,923,1,131,1
u0121,sofia,2023-12-28,175,481,10329,1,117,1
u0122,arjun_paul,2019-10-03,2824,589,11659,1,77,2
u0123,lena.93,2020-04-07,1018,617,17849,1,107,0
u0124,leon.,2018-04-17,4432,307,18466,1,79,1
u0125,maxmaria,2018-09-29,4370,261,7679,1,23,1
u0126,noah_aisha,2018-05-09,504,817,2981,1,156,1
u0127,nina5,2023-09-07,1546,796,9535,1,19,1
u0128,omar_,2024-02-22,2728,196,15087,1,75,-5
u0129,sara.nina,2023-09-06,2706,118,13184,1,34,1
u0130,sofia_97,2021-05-06,2493,626,18822,1,12,1
u0131,aisha_,2024-05-01,1114,519,5069,1,126,-5
u0132,paul.,2019-10-03,4641,144,2073,1,150,2
u0133,noah.,2024-05-05,4200,486,1873,1,126,1
u0134,jan.8,2021-10-13,279,323,13447,1,56,5
u0135,arjun_,2021-06-13,4437,166,11445,1,40,1
u0136,lucas_,2021-10-07,3454,659,562,1,71,1
u0137,sarasara,2024-07-07,418,280,1499,1,112,0
u0138,omar_30,2024-01-29,4750,642,10557,1,70,1
u0139,maria.emma,2022-07-24,3519,599,16290,1,22,1
u0140,maria.nina,2020-06-15,4361,167,12777,1,72,1
u0141,julia.25,2024-08-11,3109,719,19873,1,20,5
u0142,max.,2023-07-16,3947,243,10960,1,87,1
u0143,sara.,2022-12-05,4542,359,9325,1,107,0
u0144,lena_maria,2023-05-15,1832,789,4831,1,14,1
u0145,emma.,2020-06-24,4497,530,6080,1,148,-5
u0146,maria,2019-10-09,3398,170,7633,1,27,-5
u0147,sara_,2018-09-20,74,574,18126,1,115,1
u0148,leon.alex,2019-09-17,3547,855,5924,1,37,1
u0149,arjun48,2022-08-26,4648,279,7450,1,86,-5
u0150,maria52,2018-04-26,4547,517,1888,1,12,-5
u0151,priya.,2019-04-21,4663,516,8933,1,21,1
u0152,jan_,2021-03-07,4662,884,12801,1,148,1
u0153,alex.35,2021-12-27,1888,394,18171,1,106,0
u0154,jan35,2022-11-19,1283,787,12817,1,91,1
u0155,alex_57,2024-08-15,857,165,2910,1,57,0
u0156,julia,2024-09-12,3138,203,4599,1,78,1
u0157,sofia.ines,2022-10-29,1621,498,3555,1,44,1
u0158,tom.49,2021-03-18,2762,470,19527,1,44,1
u0159,ines.32,2018-07-20,2316,866,12925,1,103,1
u0160,noah_38,2020-06-21,4110,172,9973,1,71,1
u0161,ines.julia,2018-12-10,3446,586,1254,1,102,-5
u0162,sofia.,2024-06-03,382,606,13144,1,94,5
u0163,jan94,2020-12-25,2575,381,14970,1,62,2
u0164,omar71,2022-11-29,4606,466,15190,1,69,5
u0165,leon.,2023-05-05,4418,221,12036,1,93,1
u0166,aisha.jan,2018-02-03,1117,350,3912,1,71,1
u0167,lena.19,2023-08-06,3446,640,4567,1,157,0
u0168,inesarjun,2025-07-16,4160,698,16269,1,114,-5
u0169,paul.ines,2023-10-06,4204,145,18816,1,39,1
u0170,maria_,2022-04-23,3616,150,7814,1,63,5
u0171,max_leon,2024-12-24,4433,202,10655,1,84,1
u0172,lucas.,2022-07-16,2658,878,8161,1,110,0
u0173,jan.99,2020-07-30,4243,797,9166,1,104,0
u0174,noah_35,2020-10-30,2786,590,18987,1,43,2
u0175,alex_lucas,2020-07-12,2492,192,9029,1,33,-5
u0176,jan.,2020-10-31,3926,109,4398,1,67,2
u0177,tom_39,2024-06-28,1110,686,4731,1,27,2
u0178,emma_noah,2018-10-21,1260,451,14546,1,65,1
u0179,priya.94,2024-01-29,3537,352,4631,1,73,1
u0180,julia.77,2022-11-12,239,898,9934,1,62,2
u0181,arjunines,2020-02-05,4885,102,17360,1,13,1
u0182,alex.9,2024-10-30,1787,70,2031,1,111,2
u0183,jan_,2022-07-15,1292,579,10756,1,110,2
u0184,nina.,2022-03-03,726,474,3850,1,126,2
u0185,emmalucas,2022-03-07,112,197,16316,1,98,2
u0186,leon.leon,2020-10-31,4743,672,2575,1,137,0
u0187,omar,2023-02-01,396,513,11976,1,108,1
u0188,tom54,2023-02-17,658,615,12266,1,40,2
u0189,sofia.,2023-08-21,3830,319,10230,1,93,1
u0190,alex_sofia,2023-12-17,2857,681,364,1,95,1
u0191,sofia.53,2025-02-26,715,624,3181,1,139,1
u0192,sofialucas,2022-08-07,912,189,3512,1,52,0
u0193,tom12,2023-03-28,3266,555,1654,1,86,1
u0194,paul,2024-08-02,525,880,7333,1,43,1
u0195,jan_16,2024-03-15,434,202,18855,1,120,5
u0196,aisha_53,2018-05-22,519,119,9217,1,108,1
u0197,ines_73,2019-07-17,3201,306,5942,1,16,1
u0198,omar_,2020-05-10,1327,132,8171,1,71,1
u0199,max_,2023-03-10,1957,636,10470,1,101,2
u0200,max.,2021-09-14,4052,585,10177,1,54,0
u0201,maria,2024-08-20,4332,519,72,1,94,2
u0202,alex,2024-12-24,4331,403,2426,1,105,-5
u0203,maxaisha,2023-02-22,2432,160,5873,1,10,-5
u0204,jan,2021-12-07,746,871,11051,1,124,1
u0205,nina53,2020-09-25,2897,589,12349,1,35,5
u0206,emma_jan,2021-10-24,782,376,19515,1,133,-5
u0207,emma.,2020-10-23,849,369,6785,1,58,0
u0208,lena55,2025-01-13,4936,521,6592,1,34,1
u0209,aisha_ines,2024-05-08,2190,123,17879,1,109,1
u0210,maria,2019-04-27,2836,857,17792,1,115,5
u0211,ines.31,2019-08-23,666,434,1187,1,138,2
u0212,noah,2023-04-10,3586,236,4895,1,76,1
u0213,arjun.51,2024-09-02,2282,562,15062,1,13,5
u0214,ines.,2021-05-09,1430,312,13254,1,46,2
u0215,ines.,2022-07-03,1120,337,14569,1,92,1
u0216,omar_omar,2022-02-27,257,207,6366,1,61,5
u0217,maria_lena,2022-11-07,1651,310,12120,1,128,2
u0218,aisha,2024-08-19,4707,828,7072,1,66,-5
u0219,alex_emma,2017-12-30,89,259,8320,1,88,-5
u0220,priyalena,2019-02-03,4884,653,9312,1,86,-5
u0221,jan_36,2020-03-30,2159,701,9840,1,58,1
u0222,tom.alex,2018-03-29,4094,332,8550,1,117,0
u0223,julia38,2023-09-28,1068,788,8525,1,153,5
u0224,lena96,2023-02-26,2734,410,8588,1,159,1
u0225,noah_53,2024-02-09,1193,353,5959,1,30,0
u0226,emma_,2019-03-09,3572,678,14120,1,113,0
u0227,lena_17,2023-02-10,4143,632,10080,1,52,1
u0228,aisha_omar,2022-04-21,4313,375,14260,1,44,1
u0229,maria_leon,2021-07-15,418,638,1621,1,37,-5
u0230,priya_,2025-02-08,4503,288,15595,1,49,1
u0231,nina.13,2022-04-09,4981,747,4544,1,117,5
u0232,sara,2019-11-29,4097,233,6595,1,77,5
u0233,ines89,2019-07-02,1941,32,467,1,32,1
u0234,priya6,2025-01-31,2581,466,3847,1,34,5
u0235,lucas.83,2025-07-16,2948,478,8841,1,33,1
u0236,emma,2018-05-16,869,456,19407,1,133,5
u0237,jan_,2025-02-17,4319,815,18945,1,154,1
u0238,arjun,2018-03-16,115,688,5192,1,139,5
u0239,jan_57,2023-01-05,741,540,14699,1,90,1
u0240,julia84,2019-12-12,2996,875,1828,1,67,5
u0241,aisha.lena,2021-08-31,890,76,5429,1,136,1
u0242,max99,2018-07-19,4847,546,4461,1,137,1
u0243,nina.,2019-06-11,4759,207,4256,1,36,0
u0244,lucas_78,2024-02-25,4507,351,18189,1,65,1
u0245,emma.tom,2018-05-11,965,809,11592,1,153,0
u0246,leon,2023-05-29,528,737,9721,1,62,5
u0247,paul,2021-08-16,4617,428,7835,1,140,5
u0248,maria,2019-06-16,3649,879,7440,1,104,5
u0249,jan,2023-08-29,3110,71,14091,1,81,2
u0250,tom.sara,2023-12-04,2487,532,18815,1,150,1
u0251,omar,2022-01-31,4158,193,13679,1,149,2
u0252,lena_sara,2024-05-12,2017,70,10566,1,107,5
u0253,leon.,2021-04-27,4254,871,12336,1,141,5
u0254,jannoah,2018-08-14,3495,885,3455,1,62,2
u0255,sofia_53,2019-03-14,3333,473,10417,1,14,0
u0256,alex.,2019-08-26,4817,76,2428,1,101,2
u0257,aisha.12,2022-05-25,3144,434,1059,1,131,1
u0258,lucas_,2018-07-15,4554,598,4682,1,41,1
u0259,sara_,2019-03-24,2516,245,11317,1,64,0
u0260,priya,2023-06-21,4516,502,18061,1,28,1
u0261,priya93,2022-11-02,2730,395,4251,1,70,1
u0262,max_,2019-04-22,59,350,8116,1,66,-5
u0263,lucas.leon,2022-07-02,646,774,2520,1,14,5
u0264,max_,2019-02-14,320,594,8589,1,149,2
u0265,omarsofia,2021-07-26,1378,805,16897,1,45,0
u0266,lena,2020-03-23,534,300,12155,1,69,1
u0267,maria,2020-07-19,4291,678,9011,1,77,2
u0268,leon_29,2019-11-08,2910,866,11356,1,134,5
u0269,sofia_43,2018-03-27,3942,520,6954,1,51,-5
u0270,max.,2018-12-05,1794,489,19924,1,130,5
u0271,arjun_,2023-01-26,1677,565,16576,1,117,5
u0272,omarines,2019-09-09,1087,647,17721,1,10,5
u0273,lucas_,2020-11-16,2340,642,17866,1,114,1
u0274,alex_noah,2019-10-27,2607,448,11920,1,37,1
u0275,lena.72,2023-08-23,2532,621,11333,1,111,-5
u0276,emma28,2020-08-21,2792,850,18091,1,23,1
u0277,arjun.84,2021-05-03,4914,88,5793,1,136,0
u0278,omar_maria,2023-05-21,4202,558,7641,1,53,-5
u0279,sofia.,2021-08-12,2280,828,13138,1,100,-5
u0280,arjun.,2020-07-19,3355,548,3538,1,153,1
u0281,arjun.62,2020-09-06,3778,727,15146,1,160,5
u0282,priya_arjun,2020-03-29,1825,723,7584,1,90,0
u0283,julia61,2024-10-17,1810,617,8867,1,56,-5
u0284,noahsofia,2022-09-02,2936,189,3545,1,40,1
u0285,emma.,2020-02-22,4744,161,1824,1,144,5
u0286,alex.arjun,2025-07-21,845,363,11898,1,76,1
u0287,lena_,2021-06-22,4700,164,18920,1,68,5
u0288,sofia.,2022-08-15,1214,849,4950,1,131,5
u0289,nina_omar,2023-09-01,2606,834,15995,1,86,1
u0290,priya.,2021-03-07,2103,517,3205,1,125,-5
u0291,max.,2019-03-07,2351,393,10702,1,140,0
u0292,emma_30,2024-10-04,2406,757,8814,1,111,1
u0293,emma_,2023-04-15,3896,591,1813,1,16,5
u0294,omarmaria,2024-03-05,2943,363,15652,1,129,5
u0295,julia_ines,2019-10-11,1880,854,2984,1,123,1
u0296,ines.2,2022-06-07,2474,39,14154,1,84,2
u0297,nina_emma,2019-05-12,3212,878,12448,1,66,1
u0298,sofia.sara,2020-11-29,2247,321,17480,1,78,0
u0299,paul.leon,2018-07-04,4050,222,10556,1,14,1
u9000,riverwatch_press,2026-01-30,1800,12,37,1,120,3
u9001,alex34371,2026-02-03,3,588,20,0,8,3
u9002,alex74694,2026-02-01,6,650,29,0,0,3
u9003,lucas17345,2026-02-01,8,1094,28,0,8,3
u9004,sofia60436,2026-02-01,14,553,5,0,0,3
u9005,aisha52344,2026-02-03,5,944,5,1,8,3
u9006,maria97385,2026-02-02,6,415,18,1,0,3
u9007,sofia11170,2026-02-02,1,895,33,1,8,3
u9008,jan99908,2026-02-02,10,1077,6,0,0,3
u9009,tom83184,2026-02-01,11,1124,31,1,0,3
u9010,paul83272,2026-02-02,9,855,34,0,8,3
u9011,julia31016,2026-02-03,2,843,12,0,0,3
u9012,omar59681,2026-02-03,5,319,26,1,0,3
u9013,ines82281,2026-02-03,4,927,21,0,0,3
u9014,maria27009,2026-02-01,5,1194,5,0,0,3
u9015,ines78920,2026-02-02,8,350,26,0,8,3
u9016,jan71349,2026-02-02,1,669,38,1,0,3
u9017,omar15328,2026-02-02,2,1154,22,0,0,3
u9018,omar96098,2026-02-01,7,883,14,1,8,3
u9019,nina23644,2026-02-03,5,1111,14,1,0,3
u9020,tom82100,2026-02-02,10,1165,26,0,8,3
u9021,arjun82120,2026-02-01,8,668,31,0,0,3
u9022,aisha10860,2026-02-01,9,527,16,0,0,3
u9023,lucas22358,2026-02-03,1,771,25,0,0,3
u9024,max62402,2026-02-01,6,1051,7,1,0,3
u9025,sara94181,2026-02-01,9,338,39,0,0,3
u9026,priya39716,2026-02-02,0,949,27,0,0,3
u9027,omar38940,2026-02-02,4,351,28,0,8,3
u9028,lucas27326,2026-02-02,10,384,33,1,8,3
u9029,nina27088,2026-02-03,4,792,38,0,0,3
u9030,sofia41760,2026-02-03,2,572,30,0,8,3
u9031,noah52039,2026-02-02,11,908,4,0,0,3
u9032,paul15882,2026-02-01,7,504,26,0,8,3
u9033,alex54993,2026-02-02,3,612,31,0,0,3
u9034,lucas97590,2026-02-03,0,685,40,1,8,3
u9035,sara45557,2026-02-03,1,776,3,0,0,3
u9036,arjun40299,2026-02-02,12,820,9,0,0,3
u9037,julia12816,2026-02-02,1,553,36,0,0,3
u9038,lena56580,2026-02-03,9,541,35,0,0,3
u9039,lucas54798,2026-02-01,12,972,11,0,8,3
u9040,lucas65897,2026-02-03,9,919,24,0,8,3
